filePath,layer,loc,imports,classes,interfaces,methods,inputs,outputs,cyclomaticApprox
src/app/app.config.ts,other,10,3,0,0,0,0,0,0
src/app/app.routes.ts,other,13,2,0,0,0,0,0,0
src/app/app.ts,other,11,2,1,0,0,0,0,0
src/app/features/operator-desk/facades/call.facade.ts,facades,54,9,1,0,4,0,0,4
src/app/features/operator-desk/facades/cart.facade.ts,facades,40,7,1,0,3,0,0,3
src/app/features/operator-desk/facades/catalog.facade.ts,facades,34,5,1,0,3,0,0,4
src/app/features/operator-desk/facades/customer-queue.facade.ts,facades,30,4,1,0,2,0,0,4
src/app/features/operator-desk/facades/modal.facade.ts,facades,38,5,1,0,4,0,0,4
src/app/features/operator-desk/facades/notification.facade.ts,facades,20,2,1,0,3,0,0,3
src/app/features/operator-desk/facades/operator-session.facade.ts,facades,52,9,1,0,5,0,0,7
src/app/features/operator-desk/facades/order.facade.ts,facades,57,11,1,0,2,0,0,6
src/app/features/operator-desk/mappers/cart.mapper.ts,other,75,5,1,1,6,0,0,6
src/app/features/operator-desk/mappers/customer.mapper.ts,other,45,4,1,1,3,0,0,9
src/app/features/operator-desk/mappers/order.mapper.ts,other,45,7,1,1,2,0,0,2
src/app/features/operator-desk/mappers/product.mapper.ts,other,76,5,1,1,5,0,0,9
src/app/features/operator-desk/models/call.model.ts,models,9,1,0,1,0,0,0,0
src/app/features/operator-desk/models/cart-item.model.ts,models,8,1,0,1,0,0,0,0
src/app/features/operator-desk/models/cart.model.ts,models,8,1,0,1,0,0,0,0
src/app/features/operator-desk/models/customer.model.ts,models,9,0,0,1,0,0,0,0
src/app/features/operator-desk/models/discount-reason.model.ts,models,5,0,0,1,0,0,0,0
src/app/features/operator-desk/models/modal.model.ts,models,4,0,0,1,0,0,0,0
src/app/features/operator-desk/models/operator-session.model.ts,models,10,2,0,1,0,0,0,0
src/app/features/operator-desk/models/order.model.ts,models,16,3,0,1,0,0,0,0
src/app/features/operator-desk/models/product-category.model.ts,models,5,0,0,1,0,0,0,0
src/app/features/operator-desk/models/product.model.ts,models,12,2,0,1,0,0,0,0
src/app/features/operator-desk/models/stock-status.model.ts,models,1,0,0,0,0,0,0,0
src/app/features/operator-desk/services/call-routing.ts,services,48,5,1,0,5,0,0,7
src/app/features/operator-desk/services/cart.ts,services,68,6,1,0,8,0,0,9
src/app/features/operator-desk/services/catalog.ts,services,46,5,1,2,2,0,0,2
src/app/features/operator-desk/services/discount-approval.ts,services,23,3,1,0,2,0,0,2
src/app/features/operator-desk/services/inventory.ts,services,6,1,1,0,0,0,0,0
src/app/features/operator-desk/services/modal.ts,services,35,3,1,0,4,0,0,4
src/app/features/operator-desk/services/notification.ts,services,35,1,1,2,3,0,0,3
src/app/features/operator-desk/services/operator-session.ts,services,63,6,1,0,6,0,0,10
src/app/features/operator-desk/services/order.ts,services,39,8,1,0,2,0,0,3
src/app/features/operator-desk/adapters/api/catalog-api.adapter.ts,adapters,40,3,1,1,1,0,0,3
src/app/features/operator-desk/adapters/api/customer-api.adapter.ts,adapters,39,4,1,0,3,0,0,6
src/app/features/operator-desk/adapters/api/order-api.adapter.ts,adapters,51,2,1,2,2,0,0,3
src/app/features/operator-desk/adapters/websocket/customer-queue-websocket.adapter.ts,adapters,30,1,1,0,3,0,0,5
src/app/features/operator-desk/adapters/websocket/stock-websocket.adapter.ts,adapters,52,1,1,1,5,0,0,11
src/app/features/operator-desk/components/cart-widget/cart-widget.component.ts,components,46,5,1,2,4,0,0,4
src/app/features/operator-desk/components/modal-host/modal-host.component.ts,components,21,5,1,0,1,0,0,1
src/app/features/operator-desk/components/operator-desk-shell/operator-desk-shell.ts,components,45,10,1,0,1,5,4,1
src/app/features/operator-desk/components/operator-header/operator-header.ts,components,35,6,1,0,4,0,0,4
src/app/features/operator-desk/components/product-card/product-card.ts,components,20,2,1,0,0,8,1,0
